Parent Embedding,Synonym-1 Embedding,Synonym-2 Embedding,Synonym-3 Embedding,Synonym-4 Embedding,Synonym-5 Embedding
"[-0.37455428, -0.26759714, -0.3096159, -0.0024717778, 0.10335416, -0.28940454, -0.33633643, 0.116258375, -0.18366918, -0.14393942, 0.17960666, 0.21866798, 0.06361929, 0.23493987, 0.09530429, 0.052184608, -0.34566042, -0.017593864, -0.3166583, -0.3269608]","[-0.2705682227147385, -0.07178508711396742, -0.12046352298933316, -0.11078692454881799, 0.21195642860113215, -0.1543055283290184, -0.28810586520432885, 0.01692939113189937, -0.005769096322102318, -0.2630576734954691, 0.17960666, 0.21866798, 0.06361929, 0.23493987, 0.09530429, 0.052184608, -0.34566042, -0.017593864, -0.3166583, -0.3269608]","[-0.3123930757638225, -0.11788285424561684, -0.3102951509337182, -0.17942749074569259, -0.07446417440729772, -0.19234780947705593, -0.20016599805130597, 0.17512995765050213, 0.011820516245693802, -0.17691751549306414, 0.17960666, 0.21866798, 0.06361929, 0.23493987, 0.09530429, 0.052184608, -0.34566042, -0.017593864, -0.3166583, -0.3269608]","[-0.3317474473881888, -0.1527526905923846, -0.34720691474751975, 0.13223765079178415, -0.03776513992897784, -0.15745645780221956, -0.3498560278703643, -0.01941284288750364, -0.16430412477474768, -0.05608079567896282, 0.17960666, 0.21866798, 0.06361929, 0.23493987, 0.09530429, 0.052184608, -0.34566042, -0.017593864, -0.3166583, -0.3269608]","[-0.1773622387611939, -0.17812276000415544, -0.21654043851390026, 0.1290824348948951, 0.26924173007358865, -0.16696169848994485, -0.3002613191316251, 0.08144922867062734, -0.3592356925769897, -0.14217198755527707, 0.17960666, 0.21866798, 0.06361929, 0.23493987, 0.09530429, 0.052184608, -0.34566042, -0.017593864, -0.3166583, -0.3269608]","[-0.4110188923922653, -0.09864001532269612, -0.18033787775304766, -0.18742505017884314, 0.07724431557382833, -0.36358572145133417, -0.22197726772885717, 0.0034506157169653523, -0.025353931705270172, -0.2515302049357776, 0.17960666, 0.21866798, 0.06361929, 0.23493987, 0.09530429, 0.052184608, -0.34566042, -0.017593864, -0.3166583, -0.3269608]"
"[-0.16675422, -0.36932048, -0.3025791, -0.13898103, 0.25436625, -0.34230804, -0.22328985, 0.11253347, -0.29992083, 0.08249793, 0.34026727, 0.17320421, 0.16445714, 0.40845358, -0.026512658, 0.20238316, -0.34238926, -0.2557906, -0.33924767, -0.3472154]","[0.0009428514384380859, -0.37723549258081035, -0.17995183766491302, -0.10336036119333716, 0.30528500862396474, -0.23407910352194672, -0.1339564234289886, 0.0711442756833964, -0.10241618435358191, 0.07277484549516974, 0.34026727, 0.17320421, 0.16445714, 0.40845358, -0.026512658, 0.20238316, -0.34238926, -0.2557906, -0.33924767, -0.3472154]","[-0.09679068213608116, -0.17746861136374853, -0.303398321923449, 0.0007463593253593803, 0.2233387879812329, -0.3006795412005756, -0.22480130078406027, 0.11692229511874089, -0.2987684557226441, 0.11016445233686933, 0.34026727, 0.17320421, 0.16445714, 0.40845358, -0.026512658, 0.20238316, -0.34238926, -0.2557906, -0.33924767, -0.3472154]","[-0.09963515022376696, -0.18907849268265298, -0.24192858000306638, -0.21783067817611218, 0.32516840232045063, -0.18508989316764024, -0.3213417054593028, -0.05837977096606184, -0.2568355298375809, 0.13763326000223003, 0.34026727, 0.17320421, 0.16445714, 0.40845358, -0.026512658, 0.20238316, -0.34238926, -0.2557906, -0.33924767, -0.3472154]","[-0.08704647813318511, -0.4337858881651475, -0.20200421579175926, -0.10138031928056387, 0.2337860911001815, -0.15762704173112452, -0.23123341591525154, 0.10318458881591522, -0.2984603848303042, -0.09181334923726894, 0.34026727, 0.17320421, 0.16445714, 0.40845358, -0.026512658, 0.20238316, -0.34238926, -0.2557906, -0.33924767, -0.3472154]","[-0.03130713215859793, -0.3108711771661907, -0.11717475963035356, -0.2126882735052423, 0.2653482298101229, -0.3002929833066993, -0.3455271400686089, -0.023413538289178998, -0.2076009863136879, 0.16596738107473546, 0.34026727, 0.17320421, 0.16445714, 0.40845358, -0.026512658, 0.20238316, -0.34238926, -0.2557906, -0.33924767, -0.3472154]"
"[-0.008367441, -0.014621511, -0.34098446, -0.41198978, -0.05939212, -0.15947272, 0.09994777, 0.06014461, 0.03402979, 0.4146024, 0.10679555, -0.30644396, -0.36208683, -0.22231431, -0.33532888, -0.22600259, -0.39899552, 0.40613395, -0.21055529, -0.05271915]","[0.06309876773481468, 0.033137780549650914, -0.21680576190823403, -0.23791490030792034, 0.016564225618051757, -0.2654131535749415, -0.07732478146050763, -0.06029529912989777, 0.05291098967022078, 0.29034849754439745, 0.10679555, -0.30644396, -0.36208683, -0.22231431, -0.33532888, -0.22600259, -0.39899552, 0.40613395, -0.21055529, -0.05271915]","[0.10734473750054105, 0.17614715313822685, -0.2042648192462096, -0.2670179597079583, -0.01332360690772539, -0.17554886898984437, 0.24634460957326343, -0.1072004282232371, -0.00812370391857007, 0.27015040974056415, 0.10679555, -0.30644396, -0.36208683, -0.22231431, -0.33532888, -0.22600259, -0.39899552, 0.40613395, -0.21055529, -0.05271915]","[0.1899389688058211, -0.0027381873190622484, -0.2377180599284831, -0.3531689264679111, -0.12844978915078298, -0.07409009450490395, 0.1554244623674218, 0.06919605834913174, -0.060193499338901064, 0.3284454269227938, 0.10679555, -0.30644396, -0.36208683, -0.22231431, -0.33532888, -0.22600259, -0.39899552, 0.40613395, -0.21055529, -0.05271915]","[0.0981202430001594, -0.08022066008567866, -0.1866833787923029, -0.4041796334354918, -0.031318481620512574, -0.20180640549267015, 0.1355711698812777, 0.21997395367951417, 0.08974439685138053, 0.23740158976272246, 0.10679555, -0.30644396, -0.36208683, -0.22231431, -0.33532888, -0.22600259, -0.39899552, 0.40613395, -0.21055529, -0.05271915]","[-0.029213829049212627, -0.10186254399060407, -0.275773581877818, -0.3723901085007173, 0.058284592230057046, -0.27953112922796575, -0.03481795779751885, 0.003336972455898826, -0.1425905054623667, 0.24351013241153682, 0.10679555, -0.30644396, -0.36208683, -0.22231431, -0.33532888, -0.22600259, -0.39899552, 0.40613395, -0.21055529, -0.05271915]"
"[-0.2259379, 0.30944607, 0.10726801, 0.1617453, -0.062214732, 0.11192246, 0.12033224, 0.32989278, -0.35694802, -0.35020515, 0.1854672, 0.3278851, 0.29520074, 0.17142536, 0.27167886, -0.10681929, -0.061623488, 0.3473078, 0.28481087, -0.033635195]","[-0.20051162706423237, 0.3049789876795952, 0.07474956085075438, 0.20811699669862793, -0.04051967262462989, -0.042693314390470916, 0.0369773432340816, 0.19016634330176763, -0.16127104434339723, -0.27452441523456006, 0.1854672, 0.3278851, 0.29520074, 0.17142536, 0.27167886, -0.10681929, -0.061623488, 0.3473078, 0.28481087, -0.033635195]","[-0.3247028126891955, 0.1460792124651544, 0.15105293603391493, 0.05349758366956785, -0.008362373251022688, -0.0769511356786508, 0.08322741608885932, 0.3131351228841075, -0.22714923154085293, -0.2187278893876805, 0.1854672, 0.3278851, 0.29520074, 0.17142536, 0.27167886, -0.10681929, -0.061623488, 0.3473078, 0.28481087, -0.033635195]","[-0.11008737017908246, 0.2880417515393365, -0.04689430565773739, 0.15977719531539566, 0.06111840381431143, 0.19570303012072365, -0.026810159944134562, 0.24883066865174908, -0.23694665216325034, -0.3079784725512168, 0.1854672, 0.3278851, 0.29520074, 0.17142536, 0.27167886, -0.10681929, -0.061623488, 0.3473078, 0.28481087, -0.033635195]","[-0.19215750615760885, 0.24086283406520828, -0.07922341900637964, 0.01420746489534458, -0.21495929661451377, 0.17207775921030916, 0.24871563158116688, 0.17428690667661767, -0.26027195066131414, -0.21335776697511738, 0.1854672, 0.3278851, 0.29520074, 0.17142536, 0.27167886, -0.10681929, -0.061623488, 0.3473078, 0.28481087, -0.033635195]","[-0.0785203616007141, 0.2542691911122743, 0.28085840729620115, 0.25339747714226335, -0.20631632258245486, -0.08063680300579149, 0.09736607490437944, 0.16439358878550578, -0.26860142584882957, -0.2536053214752454, 0.1854672, 0.3278851, 0.29520074, 0.17142536, 0.27167886, -0.10681929, -0.061623488, 0.3473078, 0.28481087, -0.033635195]"
"[-0.12731685, 0.32815138, 0.04793819, 0.22695147, -0.036549725, 0.21568921, 0.029226309, 0.2770439, -0.2545281, -0.25799978, 0.07425222, 0.267555, 0.35255906, 0.33722457, 0.24595274, -0.025813475, 0.10188348, 0.25947213, 0.3777116, -0.32719052]","[-0.14894938833378638, 0.15005330663594715, -0.106763402336184, 0.328183600061431, 0.013025916503712577, 0.16853365285146973, -0.04349271768693486, 0.24219951957167812, -0.12831803141520087, -0.11901418621406001, 0.07425222, 0.267555, 0.35255906, 0.33722457, 0.24595274, -0.025813475, 0.10188348, 0.25947213, 0.3777116, -0.32719052]","[-0.16113322435977587, 0.3290589821113787, 0.025164687470687598, 0.1555397885403902, -0.09930640330032825, 0.12008948547446888, -0.07353912182619002, 0.24501107304559944, -0.17145169678563826, -0.14253467835606642, 0.07425222, 0.267555, 0.35255906, 0.33722457, 0.24595274, -0.025813475, 0.10188348, 0.25947213, 0.3777116, -0.32719052]","[-0.22908547628441292, 0.19544858929141581, 0.06318386552463412, 0.2167190270303749, 0.04543633202969453, 0.11643421741871615, 0.20973580915293255, 0.21770345972201452, -0.13053772587269996, -0.189219873373195, 0.07425222, 0.267555, 0.35255906, 0.33722457, 0.24595274, -0.025813475, 0.10188348, 0.25947213, 0.3777116, -0.32719052]","[-0.017509935246475733, 0.2638975277771456, 0.02693036468256122, 0.12131777943412213, -0.04093037955027475, 0.1509886735929265, -0.06846685892557619, 0.21574715375573963, -0.37700425982451713, -0.15832276139407608, 0.07425222, 0.267555, 0.35255906, 0.33722457, 0.24595274, -0.025813475, 0.10188348, 0.25947213, 0.3777116, -0.32719052]","[-0.0792904545157758, 0.1807227848530222, -0.06452177011530469, 0.266201558843871, -0.04675625012014583, 0.11589451165690563, 0.10355690469693951, 0.3010658685270263, -0.22876478336826855, -0.23834066526997835, 0.07425222, 0.267555, 0.35255906, 0.33722457, 0.24595274, -0.025813475, 0.10188348, 0.25947213, 0.3777116, -0.32719052]"
"[-0.03755795, -0.099801995, -0.2958569, 0.3417707, -0.29465318, 0.2458397, 0.14436924, -0.2811012, -0.22139105, 0.29599306, -0.1763317, 0.2913644, 0.2409436, -0.26678568, 0.34906998, 0.25367936, -0.2955777, -0.08267764, -0.074601285, -0.09045161]","[0.08185421035145746, -0.1726094919952771, -0.2882186345348267, 0.362166699635115, -0.22543788238821005, 0.1709066773421182, 0.1570131498336544, -0.2046113529881342, -0.13714706053818612, 0.1231704248521917, -0.1763317, 0.2913644, 0.2409436, -0.26678568, 0.34906998, 0.25367936, -0.2955777, -0.08267764, -0.074601285, -0.09045161]","[-0.0043654288195265276, -0.24485400844922828, -0.3474278021380557, 0.29916882049815485, -0.12339287202339388, 0.0803653120133622, -0.04964667065842293, -0.38987686822264683, -0.03902358343408571, 0.10204553910359795, -0.1763317, 0.2913644, 0.2409436, -0.26678568, 0.34906998, 0.25367936, -0.2955777, -0.08267764, -0.074601285, -0.09045161]","[-0.04261255220352863, 0.016290242962120532, -0.15274441024906565, 0.2733048017452383, -0.10697787600088515, 0.2554376655885046, 0.17781479660273866, -0.27428060382543556, -0.12008229249834043, 0.4003094621499691, -0.1763317, 0.2913644, 0.2409436, -0.26678568, 0.34906998, 0.25367936, -0.2955777, -0.08267764, -0.074601285, -0.09045161]","[0.044300330990943444, -0.26536029786959714, -0.11649104892149431, 0.23382602576621514, -0.09913428254255119, 0.3306079158356938, 0.2610784410407655, -0.23352881546502832, -0.1967537481488756, 0.2406575513577437, -0.1763317, 0.2913644, 0.2409436, -0.26678568, 0.34906998, 0.25367936, -0.2955777, -0.08267764, -0.074601285, -0.09045161]","[-0.09740803024528502, 0.06634012359514954, -0.2594925450055839, 0.34573570272470333, -0.41986616709426505, 0.10662870215951903, -0.0015486987790804263, -0.3061558209444607, -0.09070146596817977, 0.19611212997556005, -0.1763317, 0.2913644, 0.2409436, -0.26678568, 0.34906998, 0.25367936, -0.2955777, -0.08267764, -0.074601285, -0.09045161]"
"[0.07998618, -0.08513093, -0.27131534, 0.28349563, -0.25155637, 0.20280135, -0.049604803, -0.30764082, -0.20884313, 0.26960695, -0.12662938, 0.27924234, 0.33386672, -0.21780021, 0.19184197, 0.2668767, -0.26698527, -0.23357816, 0.29821208, -0.2706308]","[8.767494812160492e-05, -0.14827335148208778, -0.2606421591130271, 0.09852056057882835, -0.170046086956538, 0.07235073219369115, 0.030799939820317285, -0.18965749216774253, -0.05696524707839917, 0.07258302714829917, -0.12662938, 0.27924234, 0.33386672, -0.21780021, 0.19184197, 0.2668767, -0.26698527, -0.23357816, 0.29821208, -0.2706308]","[0.03806139775407576, 0.038631399566429636, -0.15405298799150252, 0.11972891944868039, -0.14675800542880552, 0.11983695770528106, -0.011429080762496852, -0.344724010436411, -0.06388654814595651, 0.10230774934411113, -0.12662938, 0.27924234, 0.33386672, -0.21780021, 0.19184197, 0.2668767, -0.26698527, -0.23357816, 0.29821208, -0.2706308]","[0.029198787595811973, 0.04148292486862187, -0.09586076615829031, 0.24760770951932795, -0.12534806201014476, 0.17458183686907996, 0.10584357885237747, -0.28012907347411753, -0.28482697526328327, 0.13868378901648631, -0.12662938, 0.27924234, 0.33386672, -0.21780021, 0.19184197, 0.2668767, -0.26698527, -0.23357816, 0.29821208, -0.2706308]","[0.1768517995827401, -0.11773620949708236, -0.23309770506852312, 0.17949307155458666, -0.09138139286561942, 0.26447677812121234, 0.05149950091193031, -0.19233880326053915, -0.18435133293817468, 0.2012117356430966, -0.12662938, 0.27924234, 0.33386672, -0.21780021, 0.19184197, 0.2668767, -0.26698527, -0.23357816, 0.29821208, -0.2706308]","[-0.0005038505925026998, 0.023748742472735396, -0.14083685992239442, 0.20054578838246295, -0.19510294881825346, 0.11993624772764556, 0.03285375507277635, -0.316228987842208, -0.20295052237979627, 0.3706303011690463, -0.12662938, 0.27924234, 0.33386672, -0.21780021, 0.19184197, 0.2668767, -0.26698527, -0.23357816, 0.29821208, -0.2706308]"
"[-0.27648535, 0.26417875, -0.28422752, 0.27001777, 0.27425036, 0.30666173, 0.12083629, 0.2683635, -0.2909384, -0.07122375, -0.22266376, -0.09869498, 0.2387284, -0.14451359, -0.066020034, -0.24772148, 0.12533443, 0.14303058, 0.31143743, -0.34511358]","[-0.42979312927620406, 0.15846060491905517, -0.16998031734314856, 0.07385388480205632, 0.2021345022783563, 0.16265302518267705, 0.11248877626075802, 0.09658761656266077, -0.2316611737432796, -0.18225901934465766, -0.22266376, -0.09869498, 0.2387284, -0.14451359, -0.066020034, -0.24772148, 0.12533443, 0.14303058, 0.31143743, -0.34511358]","[-0.19352431335304238, 0.10148455385302252, -0.39209366376540106, 0.31991497051025386, 0.1271927439333263, 0.3396682053349047, 0.02096726307580367, 0.14977794910828499, -0.09652826053078284, 0.11308099419663561, -0.22266376, -0.09869498, 0.2387284, -0.14451359, -0.066020034, -0.24772148, 0.12533443, 0.14303058, 0.31143743, -0.34511358]","[-0.11176587488846201, 0.07467092749727194, -0.28624314344782037, 0.16644684350943478, 0.12256296963728561, 0.4603781182425831, 0.15314796300906325, 0.13245628317350544, -0.26846528014936233, -0.11632741024219584, -0.22266376, -0.09869498, 0.2387284, -0.14451359, -0.066020034, -0.24772148, 0.12533443, 0.14303058, 0.31143743, -0.34511358]","[-0.13100095420252428, 0.11112602366403254, -0.2946452988127263, 0.3439798533536594, 0.1986857769929657, 0.17594961755673472, 0.15476790201331564, 0.16985631749111946, -0.3433837373889801, 0.09178363528689529, -0.22266376, -0.09869498, 0.2387284, -0.14451359, -0.066020034, -0.24772148, 0.12533443, 0.14303058, 0.31143743, -0.34511358]","[-0.1295986019271883, 0.23451916540850676, -0.2626560584183143, 0.24937786444042556, 0.14956691098165992, 0.4593370801562952, 0.16122856597536067, 0.07287902657884793, -0.20560285917291987, 0.10272611551120078, -0.22266376, -0.09869498, 0.2387284, -0.14451359, -0.066020034, -0.24772148, 0.12533443, 0.14303058, 0.31143743, -0.34511358]"
"[-0.21457466, 0.24253987, 0.20181026, -0.16286422, 0.13339502, 0.25671497, -0.20100336, 0.2707279, 0.23557264, -0.24832532, -0.2005499, -0.26211664, 0.19685595, 0.24702793, -0.23345232, 0.21362403, 0.26584074, 0.19136067, 0.25870278, -0.2799712]","[-0.19617795975164706, 0.3060740249513778, 0.1148178647930383, -0.06166637011196102, 0.08319835821538091, 0.2646103195151519, -0.052236504008202816, 0.11503447130876432, 0.21037392249709813, -0.07821172843022858, -0.2005499, -0.26211664, 0.19685595, 0.24702793, -0.23345232, 0.21362403, 0.26584074, 0.19136067, 0.25870278, -0.2799712]","[-0.09898884457880883, 0.30995720716903086, 0.1562846477500162, -0.060610422578874, 0.2706987922250693, 0.08571832695602843, -0.1348268160498505, 0.11917519161401302, 0.231554500696032, -0.060812164535873486, -0.2005499, -0.26211664, 0.19685595, 0.24702793, -0.23345232, 0.21362403, 0.26584074, 0.19136067, 0.25870278, -0.2799712]","[-0.10296276388129758, 0.1486989696250131, 0.06293376244211815, -0.10306427078768599, -0.06192998160740876, 0.28276726925806756, -0.20940487226468876, 0.278890958418718, 0.27555254032736953, -0.1132034815746393, -0.2005499, -0.26211664, 0.19685595, 0.24702793, -0.23345232, 0.21362403, 0.26584074, 0.19136067, 0.25870278, -0.2799712]","[-0.3847661050501072, 0.04479663928528385, 0.3758722627430495, -0.14327530116804452, 0.017711541257733915, 0.0896752492150687, -0.1366965605846487, 0.16440000291577359, 0.11651732874229204, -0.10326643522246323, -0.2005499, -0.26211664, 0.19685595, 0.24702793, -0.23345232, 0.21362403, 0.26584074, 0.19136067, 0.25870278, -0.2799712]","[-0.2962020410908711, 0.05365608671134492, 0.22193655891123407, 0.028909898088884056, 0.06904720855028437, 0.07486385441544921, -0.11184774558680641, 0.4453669596125546, 0.1734665818681762, -0.06944622382272234, -0.2005499, -0.26211664, 0.19685595, 0.24702793, -0.23345232, 0.21362403, 0.26584074, 0.19136067, 0.25870278, -0.2799712]"
"[-0.16827254, 0.30105045, -0.27270308, 0.28388962, 0.26931712, 0.23924781, 0.045592032, 0.24918117, -0.2564696, -0.10880313, -0.27579936, -0.053423397, 0.3252204, -0.20633346, 0.15497111, -0.1517865, 0.07011202, 0.086019844, 0.3128876, -0.33273277]","[-0.05152396565375264, 0.12431549407484438, -0.2019492970722625, 0.09978006640683962, 0.25395351811751665, 0.126158272167083, 0.07388213886972131, 0.3434516871476385, -0.10651266626592099, -0.08939098541287471, -0.27579936, -0.053423397, 0.3252204, -0.20633346, 0.15497111, -0.1517865, 0.07011202, 0.086019844, 0.3128876, -0.33273277]","[-0.045205659317646, 0.18163089563179657, -0.18334909500396485, 0.19663024484915453, 0.21363792651970287, 0.23515073375978923, -0.021123030931948623, 0.18976226623376044, -0.2674730228094403, 0.08802175568607415, -0.27579936, -0.053423397, 0.3252204, -0.20633346, 0.15497111, -0.1517865, 0.07011202, 0.086019844, 0.3128876, -0.33273277]","[-0.13212253321879233, 0.1104509851696523, -0.33643662934358287, 0.14540903003036384, 0.0841622356250839, 0.2911372735317041, 0.07442120644056355, 0.162650247317435, -0.17890332554523208, 0.08313824186562832, -0.27579936, -0.053423397, 0.3252204, -0.20633346, 0.15497111, -0.1517865, 0.07011202, 0.086019844, 0.3128876, -0.33273277]","[-0.24489442350673635, 0.18946234167806214, -0.16417636273401276, 0.08437522022666546, 0.3176964253064276, 0.1007827179301089, 0.15892828722349356, 0.06528248502017447, -0.2558990864415487, -0.10751999040169108, -0.27579936, -0.053423397, 0.3252204, -0.20633346, 0.15497111, -0.1517865, 0.07011202, 0.086019844, 0.3128876, -0.33273277]","[-0.0819519835259904, 0.12701910696862478, -0.26532185739987296, 0.2750375543407553, 0.27587477682095174, 0.15858695702595166, 0.21880293335043477, 0.08747493318429767, -0.15010157268567725, 0.07577725134375637, -0.27579936, -0.053423397, 0.3252204, -0.20633346, 0.15497111, -0.1517865, 0.07011202, 0.086019844, 0.3128876, -0.33273277]"
"[-0.13340999, 0.27934843, -0.30154413, 0.2815638, 0.2263007, 0.2915675, -0.02048843, 0.24503963, -0.306754, -0.16141672, -0.2965338, -0.20434639, 0.3157258, -0.22550496, -0.066692084, -0.17110047, -0.14421044, -0.06937567, 0.29260254, -0.27701464]","[-0.20250797343463547, 0.09185025676559064, -0.17653539713427707, 0.4423272884995727, 0.11799081405943726, 0.1817225683640311, -0.11583030117185536, 0.09851326675262725, -0.16790531412980536, -0.007005083807315238, -0.2965338, -0.20434639, 0.3157258, -0.22550496, -0.066692084, -0.17110047, -0.14421044, -0.06937567, 0.29260254, -0.27701464]","[-0.1976772332363749, 0.3601232339662418, -0.22689359564654515, 0.1418019112019662, 0.2389447904181239, 0.20429322435956188, 0.10656008884315321, 0.20377389588965258, -0.17866659889806452, 0.028155572819873798, -0.2965338, -0.20434639, 0.3157258, -0.22550496, -0.066692084, -0.17110047, -0.14421044, -0.06937567, 0.29260254, -0.27701464]","[-0.20056762876388146, 0.1369993745600248, -0.2632470190646825, 0.3447029225970916, 0.3404881465851457, 0.1628976408602591, -0.015135306005346318, 0.0790769475300443, -0.17741721634326518, 0.013502177799385784, -0.2965338, -0.20434639, 0.3157258, -0.22550496, -0.066692084, -0.17110047, -0.14421044, -0.06937567, 0.29260254, -0.27701464]","[0.002905712467241056, 0.22439563173649257, -0.2648897122480943, 0.40735364123878204, 0.1834081233954357, 0.23778234654592348, 0.07728728183033562, 0.1674905573321579, -0.16213867157336276, 0.03495218268222994, -0.2965338, -0.20434639, 0.3157258, -0.22550496, -0.066692084, -0.17110047, -0.14421044, -0.06937567, 0.29260254, -0.27701464]","[-0.02890075360261271, 0.08473027612685907, -0.20087426664541047, 0.08171276259121946, 0.18929925535309797, 0.41522267133585916, -0.03571049795527548, 0.3270777787182942, -0.28647919862168136, -0.12005459025544585, -0.2965338, -0.20434639, 0.3157258, -0.22550496, -0.066692084, -0.17110047, -0.14421044, -0.06937567, 0.29260254, -0.27701464]"
"[-0.21032329, 0.051930774, -0.5063304, 0.22718044, 0.19863018, -0.45732138, -0.16017318, -0.017096361, -0.29322153, -0.20485243, 0.09060556, 0.3823093, 0.076056026, 0.32641202, -0.273024, 0.1785649, -0.43382597, 0.18811443, -0.19049129, -0.40168303]","[-0.2663366642938658, -0.009569072761513767, -0.32432745022945036, 0.33459661287552844, 0.15274801317464443, -0.36213341828538165, -0.12424523716856156, 0.09937967382490714, -0.20199574636723355, -0.0075769140827850745, 0.09060556, 0.3823093, 0.076056026, 0.32641202, -0.273024, 0.1785649, -0.43382597, 0.18811443, -0.19049129, -0.40168303]","[-0.2854093508259772, 0.22745132840408128, -0.3425241499460341, 0.3644118239619777, 0.2818241900484139, -0.2845770020604349, -0.07585549385931653, 0.012843853105208029, -0.09728069479802381, -0.21254910395988436, 0.09060556, 0.3823093, 0.076056026, 0.32641202, -0.273024, 0.1785649, -0.43382597, 0.18811443, -0.19049129, -0.40168303]","[-0.16940802986345183, 0.15968210898184165, -0.3926592437383628, 0.4066273541420563, 0.14762001627627586, -0.38130926945723276, -0.10228788609815845, 0.03700104501454238, -0.10710709148169634, -0.20092498235571774, 0.09060556, 0.3823093, 0.076056026, 0.32641202, -0.273024, 0.1785649, -0.43382597, 0.18811443, -0.19049129, -0.40168303]","[-0.2342950754266091, -0.07733312763551715, -0.46425806612503073, 0.050741226429392244, 0.0348969723151612, -0.46744970641728234, -0.09044061279387147, 0.1212348021051346, -0.2971444216034599, -0.08825248748151185, 0.09060556, 0.3823093, 0.076056026, 0.32641202, -0.273024, 0.1785649, -0.43382597, 0.18811443, -0.19049129, -0.40168303]","[-0.24458595204599662, 0.022157104625974713, -0.4256181779055489, 0.12985851415477997, 0.2102804522452712, -0.4049998762503277, -0.30213834970194753, 0.11738117080789467, -0.0937958686197764, -0.24312417620053414, 0.09060556, 0.3823093, 0.076056026, 0.32641202, -0.273024, 0.1785649, -0.43382597, 0.18811443, -0.19049129, -0.40168303]"
"[0.015254888, 0.229189, -0.31904563, 0.3118968, -0.07559011, 0.3284864, 0.20309177, 0.11379112, -0.14474596, -0.19014637, -0.22675413, -0.106844276, 0.26911354, -0.2533986, 0.3012011, 0.25131226, 0.31602573, -0.29048926, -0.05838766, 0.29929495]","[-0.07303481234951463, 0.08725419340342769, -0.21468621950108246, 0.19039919029265978, -0.028036376002018318, 0.23585131710484808, 0.1928893815197404, -0.060936112345467364, -0.02188952622918272, -0.16616641237438495, -0.22675413, -0.106844276, 0.26911354, -0.2533986, 0.3012011, 0.25131226, 0.31602573, -0.29048926, -0.05838766, 0.29929495]","[0.07654286808682889, 0.331069210305696, -0.20305652402564384, 0.19685414488506803, 0.055779541602034285, 0.154625957763736, 0.10913344615194404, -0.02164869527689997, -0.13328077323977014, -0.013963565494070795, -0.22675413, -0.106844276, 0.26911354, -0.2533986, 0.3012011, 0.25131226, 0.31602573, -0.29048926, -0.05838766, 0.29929495]","[-0.14973811690171185, 0.1038236274213015, -0.14268971970743644, 0.18305928114855813, -0.10595118872053334, 0.3268036512791412, 0.0457477680315484, 0.08799945257433398, -0.20039165230744324, -0.09028652961565964, -0.22675413, -0.106844276, 0.26911354, -0.2533986, 0.3012011, 0.25131226, 0.31602573, -0.29048926, -0.05838766, 0.29929495]","[0.044672594810269535, 0.12723555802000472, -0.21937596164336265, 0.20056039403155063, 0.08884189994087814, 0.35656210487386847, 0.05560265762134642, 0.23925945315519728, -0.018825777303351776, -0.08860591572174487, -0.22675413, -0.106844276, 0.26911354, -0.2533986, 0.3012011, 0.25131226, 0.31602573, -0.29048926, -0.05838766, 0.29929495]","[0.05643108994556654, 0.21460011263202122, -0.2047096802293611, 0.3020278399011174, 0.05635324376691252, 0.15393012691919167, 0.10194245640532064, -0.013545151392429233, -0.15577474935191868, -0.305955161148751, -0.22675413, -0.106844276, 0.26911354, -0.2533986, 0.3012011, 0.25131226, 0.31602573, -0.29048926, -0.05838766, 0.29929495]"
